OBJECTID,Name,Anzahl der Einwohnerinnen und Einwohner,Anzahl der Kinder und Jugendlichen unter 18 Jahren,Anteil Kinder und Jugendlicher unter 18 Jahren an der Gesamt-bev,Anzahl älterer Einwohnerinnen und Einwohner über 64 Jahren,Anteil älterer Einwohnerinnen und Einwohner über 64 Jahren an de,Anzahl ausländischer Einwohnerinnen und Einwohner,Anteil ausländischer Einwohnerinnen und Einwohner an der Gesamt-,Anzahl der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anteil der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anzahl der Kinder und Jugendlichen unter 18 Jahren mit Migration,Anteil Kinder und Jugendlicher unter 18 Jahren mit Migrations-hi,Anzahl der Haushalte,Durchschnittliche Anzahl der Personen je Haushalt,Anzahl der Einpersonen-haushalte,"Anteil der Haushalte, in denen nur eine Person lebt, an allen Ha",Anzahl der Haushalte mit Kindern,"Anteil der Haushalte, in denen Kinder leben, an allen Haushalten","Anzahl der Haushalte, in denen Alleinerziehende leben","Anteil der Haushalte, in denen Alleinerziehende leben, an allen",Fläche in km²,Einwohnerinnen und Einwohner je km²,Anzahl der Lebendgeborenen,Anzahl der Sterbefälle,Zuzüge über die Stadtteilgrenze im Jahr 2017,Fortzüge über die Stadtteilgrenze im Jahr 2017,Differenz der Zuzüge und Fortzüge über die Stadtteilgrenze,Sozial-versicherungs-pflichtig Beschäftigte am Wohnort,Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort a,Anzahl der Arbeitslosen,Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-J,Jüngere Arbeitslose im Alter von 15 bis unter 25 Jahren,Anteil jüngerer Arbeitsloser (15 bis unter 25-Jährige) an den jü,Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren,Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den ält,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anzahl der Bedarfs-gemeinschaften nach SGB II,Anzahl der Lohn- und Einkommen-steuerpflichtigen (2013),Gesamtbetrag der Einkünfte je Steuerpflichtigen (Lohn- und Einko,Anzahl der Wohngebäude,Anzahl der Wohnungen,Anzahl der bezugsfertig gewordenen Wohnungen im Jahr,Anzahl der Wohnungen in Ein- und Zweifamilien-häusern,Anteil der Wohnungen in Ein- und Zweifamilien-häusern an allen W,Durchschnittliche Wohnungsgröße in m²,Durchschnittliche Wohnfläche je Einwohner/-in in m²,Anzahl der Sozialwohnungen,Anteil der Sozialwohnungen an allen Wohnungen,Anzahl der Sozialwohnungen mit Bindungsauslauf bis 2022,Anteil der Sozialwohnungen mit Bindungsauslauf bis 2022 an allen,Durchschnittlicher Immobilienpreis für ein Grundstück in EUR/m²,Durchschnittlicher Immobilienpreis für ein Ein- bzw Zweifamilien,Durchschnittlicher Immobilienpreis für eine Eigentums-wohnung in,Kindergärten und Vorschulklassen für Kinder im Alter von 3 Jahre,Anzahl der Grundschulen,Anzahl der Schülerinnen und Schüler der Sekundarstufe I (nach Wo,Anteil der Schülerinnen und Schüler in Stadtteilschulen an allen,Anteil der Schülerinnen und Schüler in Gymnasien an allen Schüle,Anzahl der niedergelassenen Ärzte,Anzahl der Allgemeinärzte,Anzahl der Zahnärzte,Anzahl der Apotheken,Anzahl privater PKW,Anzahl der privaten PKW je 1 000 Einwohnerinnen und Einwohner,Shape__Area,Shape__Length
59,Wellingsbüttel,10570,1940,18.3538315988647,2976,28.155156102176,639,6.04541154210028,1822,17.2407267221802,496,25.593395252838,5168,2.05746904024768,2119,41.0023219814241,1152,22.2910216718266,153,13.28125,4.0865355278,2586.54303335774,107,143,1000,875,125,3105,51.9,119,1.99196518245732,4,0.432900432900433,32,2.54980079681275,155,1.46641438032167,33,2.03703703703704,103,5156,88606,2873,5108,43,2703,52.9169929522318,120.231401722788,58.1023651844844,22,0.43069694596711,22,100,856,0,0,6,1,633,20.8530805687204,78.3570300157978,25,7,12,2,5269,498.486281929991,11601818.2910156,17040.8429606302
60,Sasel,23647,4513,19.0848733454561,6068,25.6607603501501,1345,5.68782509409227,3880,16.4149426746203,1132,25.1835372636262,11176,2.14772727272727,4102,36.7036506800286,2689,24.0604867573371,364,13.5366307177389,8.3630754181,2827.5483381175,191,199,1642,1497,145,7583,54.3,293,2.11049484981632,15,0.679040289723857,69,2.13292117465224,386,1.63234236901087,82,2.21861471861472,229,10933,61360,7456,10895,106,7542,69.2244148692061,112.536117485085,51.8493254958346,36,0.330426801284993,0,0,560,0,0,12,3,1556,30.6555269922879,68.0591259640103,33,9,12,2,11989,506.99877362879,23758297.3242188,28580.9935813663
61,Poppenbüttel,23280,3752,16.1168384879725,7698,33.0670103092784,1691,7.26374570446735,4866,20.9164374140303,1332,35.6054530874098,11122,2.01852184858838,4533,40.7570580830786,2263,20.3470598813163,374,16.5267344233319,8.1052305867,2872.2193342902,173,514,2105,1386,719,6953,56.5,297,2.38477597559017,16,0.861141011840689,72,2.60303687635575,702,3.01546391752577,198,6.32992327365729,368,11517,52157,6182,10648,103,6075,57.0529676934636,103.80832081142,47.4807130584192,404,3.79413974455297,172,42.6,525,0,0,10,3,1203,29.8420615128845,68.2460515378221,121,27,44,9,10644,457.216494845361,23038227.1274414,24859.460914252
62,Hummelsbüttel,17871,3129,17.5088131609871,4467,24.9958032566728,2621,14.6662190140451,6268,35.0637726560752,1584,50.8017960230917,8717,1.99001950212229,3717,42.6408167947688,1856,21.2917288057818,493,26.5625,9.0835956451,1967.39272620972,162,184,1885,1640,245,6051,56.4,542,5.01991293877929,52,3.01274623406721,106,4.553264604811,1899,10.626154104415,532,20.4065976217875,936,7872,38135,2780,8201,107,2239,27.3015485916352,88.571027923424,40.6452352974092,1602,19.5342031459578,671,41.9,613,0,0,10,1,1026,47.270955165692,49.4152046783626,13,8,12,2,7196,402.663533098316,25810076.1030273,25849.6741593122
63,Lemsahl-Mellingstedt,6980,1354,19.3982808022923,1386,19.8567335243553,636,9.11174785100287,1318,18.8555078683834,371,27.380073800738,2930,2.30170648464164,863,29.4539249146758,768,26.2116040955631,105,13.671875,8.002216325,872.258349001831,70,43,1020,972,48,2172,48.4,73,1.62910064717697,6,0.77120822622108,16,1.42857142857143,135,1.93409742120344,40,3.59389038634322,67,3126,75191,2359,2772,20,2484,89.6103896103896,132.002164502165,52.4226361031519,29,1.04617604617605,29,100,490,0,0,5,1,426,35.9154929577465,61.7370892018779,3,2,1,1,3872,554.727793696275,22771269.1567383,26533.7825755056
64,Duvenstedt,6221,1364,21.9257354123131,1186,19.0644590901784,469,7.53898087124257,985,15.8462033462033,363,26.8094534711965,2623,2.37895539458635,798,30.4231795653831,770,29.3556995806329,146,18.961038961039,6.782221382,917.25109659654,53,49,412,442,-30,2064,52.2,79,2.00101317122594,7,0.913838120104439,19,2.2196261682243,262,4.21154155280502,104,9.56761729530819,83,2738,65694,1788,2528,15,1832,72.4683544303797,118.048655063291,47.9709049991963,82,3.24367088607595,0,0,467,0,0,2,1,537,33.8919925512104,63.3147113594041,13,5,7,3,3193,513.261533515512,19318522.8735352,25205.6258313762
65,Wohldorf-Ohlstedt,4585,963,21.0032715376227,970,21.1559432933479,215,4.68920392584515,623,13.5346513143602,204,21.139896373057,2034,2.32448377581121,628,30.8751229105211,560,27.5319567354966,79,14.1071428571429,17.288528172,265.204762047109,39,41,345,385,-40,1314,45.7,46,1.61914818725801,3,0.609756097560976,12,1.81818181818182,80,1.74482006543075,25,3.22997416020672,41,2066,94234,1525,1967,45,1569,79.7661413319776,143.595831215048,61.603707742639,0,0,0,0,520,0,0,4,1,351,32.1937321937322,65.8119658119658,0,0,4,1,2491,543.293347873501,49255486.2519531,39915.4755857354
66,Bergstedt,10836,2351,21.6961978589886,2288,21.1148025101513,969,8.94241417497232,1924,17.7310846926551,653,27.8227524499361,4823,2.16359112585528,1849,38.3371345635497,1282,26.5809662036077,210,16.380655226209,7.0391460339,1539.39127669956,84,84,943,857,86,3501,52.7,210,3.16933293087836,25,2.18722659667542,48,3.56612184249629,660,6.09080841638981,221,11.4984391259105,291,4836,51374,2850,4580,22,2801,61.1572052401747,103.401965065502,43.7044112218531,187,4.08296943231441,0,0,483,0,0,9,1,757,45.9709379128137,52.5759577278732,7,5,5,2,4823,445.090439276486,20018108.7480469,25752.9923171634
67,Volksdorf,20694,4182,20.2087561612061,5450,26.3361360780903,1387,6.70242582391031,3383,16.3698828994484,1039,24.9579630074466,9495,2.15692469720906,3578,37.68299104792,2385,25.1184834123223,505,21.1740041928721,11.5762444374,1787.62638538823,142,250,1628,1459,169,6033,50.6,270,2.26700251889169,14,0.638394892840857,59,2.12077641984184,692,3.3439644341355,205,6.14877024595081,355,9494,63763,5529,9054,47,5304,58.5818422796554,112.704329578087,49.3101865274959,668,7.37795449525072,330,49.4,658,0,0,13,4,1529,36.9522563767168,59.5814257684761,87,26,29,5,9297,449.260655262395,32889041.6044922,31662.3311085832
68,Rahlstedt,91703,16000,17.4476298485328,20428,22.2762614091142,12373,13.4924702572435,29971,32.6481481481481,7797,48.9024084295033,46884,1.9283337599181,21693,46.2695162528794,9542,20.352359013736,2608,27.331796269126,26.5659843943,3451.89542532728,939,1020,10440,9275,1165,33466,58.1,2789,4.81027940669196,296,3.10663308144416,508,4.44600035007877,9515,10.3758873755493,2919,21.9556224144415,4661,42075,33419,15319,44157,294,12600,28.534547183912,81.1734266367733,39.0867801489591,3435,7.77906107751885,609,17.7,453,0,0,37,12,5089,54.4704264099037,42.1693849479269,153,56,63,15,35925,391.753813942837,75330287.6606445,44502.0310473542
69,Lohbrügge,39168,6105,15.5867034313725,9323,23.8025939542484,4699,11.9970383986928,15225,38.8700247644821,3467,56.9855358316897,20803,1.88203624477239,10108,48.5891457962794,3794,18.2377541700716,1082,28.5187137585662,13.04495229111,3002.54068592436,325,461,2984,3256,-272,15308,61.4,1248,5.02455914324825,56,1.35396518375242,240,4.8348106365834,3882,9.91115196078431,1026,20.4913121629718,2082,18234,29127,5727,20082,43,4445,22.1342495767354,74.8328851707997,38.367902369281,1567,7.80300766855891,889,56.7,390,0,0,14,4,1982,56.0040363269425,41.6750756811302,48,18,28,7,14506,370.353349673203,36812177.4052734,36637.4687239703
70,Bergedorf,35669,6188,17.3483977683703,7147,20.0370069247806,5325,14.9289298830918,11660,32.7509690466828,2859,46.4424951267057,18117,1.88712259204062,8857,48.8877849533587,3534,19.5065408180162,956,27.0514997170345,10.3590985453,3443.2532757576,382,390,4712,4130,582,13383,58.1,1225,5.2608975735452,66,1.6793893129771,187,4.57436399217221,3828,10.7320081863803,1084,20.698873400802,2041,15979,35049,5155,16993,179,4037,23.756841052198,79.3578532336845,37.8067229246685,716,4.21349967633732,167,23.3,420,0,0,23,7,1961,50.5354411014788,46.6088730239674,150,39,48,11,12161,340.940312316017,29197959.2558594,38800.1731711131
71,Curslack,3964,833,21.0141271442987,603,15.2119071644803,702,17.7093844601413,1046,26.4074728603888,349,42.0481927710843,1577,2.19086873811034,544,34.4958782498415,397,25.1743817374762,77,19.3954659949622,10.57381252,374.888432389191,47,32,590,586,4,1502,56.9,126,4.73150582050319,9,1.91489361702128,20,3.73134328358209,460,11.6044399596367,171,24.4985673352435,193,1711,41512,954,1479,26,982,66.3962136578769,104.873563218391,39.1291624621594,9,0.608519269776876,4,44.4,266,0,0,1,1,256,56.640625,41.40625,8,5,0,1,1812,457.114026236125,29770514.9086914,28720.719100643
72,Altengamme,2246,418,18.6108637577916,439,19.5458593054319,92,4.09617097061443,209,9.31787784217566,64,15.3846153846154,1017,2.22615535889872,337,33.1366764995084,250,24.5821042281219,51,20.4,15.60817234,143.898974913548,19,30,164,140,24,888,60.3,33,2.26492793411119,0,0,5,1.50602409638554,68,3.02760463045414,22,6.28571428571429,36,1060,47341,643,909,1,698,76.7876787678768,107.53795379538,43.5227070347284,4,0.44004400440044,0,0,230,0,0,1,1,137,50.3649635036496,48.1751824817518,1,1,0,0,1270,565.449688334817,43908810.871582,36635.8885967997
73,Neuengamme,3705,647,17.4628879892038,766,20.6747638326586,180,4.8582995951417,372,10.0296575896468,105,16.2790697674419,1686,2.19395017793594,576,34.1637010676157,402,23.8434163701068,63,15.6716417910448,18.617027082,199.011366513089,38,36,295,271,24,1495,61.8,58,2.40963855421687,3,0.840336134453782,12,2.16606498194946,126,3.40080971659919,40,7.5187969924812,57,1791,40936,1051,1535,18,1135,73.9413680781759,108.117915309446,44.7937921727395,20,1.30293159609121,0,0,256,0,0,2,0,214,65.4205607476635,33.1775700934579,1,1,3,1,2032,548.448043184885,52362086.4135742,46244.1268521203
74,Kirchwerder,9910,1712,17.2754793138244,1978,19.9596367305752,684,6.9021190716448,1213,12.2389264453637,309,18.1125439624853,4600,2.16152173913043,1592,34.6086956521739,1073,23.3260869565217,198,18.452935694315,32.308070685,306.734502862191,94,82,892,849,43,4114,63.4,139,2.13353798925556,15,1.49105367793241,32,2.28571428571429,327,3.29969727547931,99,6.98659139026111,162,4668,39284,2810,4169,62,3064,73.4948428879827,106.420244662989,44.7695257315843,26,0.623650755576877,8,30.8,243,0,0,7,2,587,63.7137989778535,35.2640545144804,6,6,3,2,5415,546.417759838547,90813128.8295898,54983.7098802673
75,Ochsenwerder,2628,454,17.2754946727549,502,19.1019786910198,211,8.02891933028919,391,14.8612694792854,106,23.2967032967033,1274,2.09262166405024,483,37.9120879120879,290,22.7629513343799,50,17.2413793103448,14.09993664,186.383816260893,24,21,298,205,93,1088,64.8,45,2.5847214244687,0,0,9,2.45231607629428,70,2.66362252663623,14,3.63636363636364,41,1265,38634,721,1111,30,756,68.0468046804681,117.872187218722,49.8310502283105,21,1.89018901890189,0,0,235,0,0,2,1,150,62,37.3333333333333,2,2,0,0,1536,584.474885844749,39696389.0561523,31159.5585492736
76,Reitbrook,506,60,11.8577075098814,128,25.296442687747,41,8.10276679841897,65,12.770137524558,8,13.5593220338983,263,1.95817490494297,123,46.7680608365019,42,15.9695817490494,4,9.52380952380952,6.937304502,72.9389923498561,2,9,35,44,-9,202,59.9,4,1.21212121212121,0,0,0,0,7,1.38339920948617,3,6.25,3,242,37041,147,231,0,151,65.3679653679654,119.701298701299,54.6462450592885,0,0,0,0,223,0,0,0,0,16,75,25,0,0,2,0,283,559.288537549407,19540376.027832,22544.4026500904
77,Allermöhe,1361,206,15.1359294636297,274,20.1322556943424,148,10.8743570903747,297,22,64,31.6831683168317,668,2.05988023952096,267,39.9700598802395,124,18.562874251497,24,19.3548387096774,8.637358433,157.571323519486,10,16,195,177,18,566,61.3,21,2.27272727272727,3,2.04081632653061,6,2.8169014084507,17,1.24908155767818,4,2.45398773006135,12,696,38369,455,594,5,502,84.5117845117845,114.851851851852,50.1263776634827,0,0,0,0,226,0,0,2,0,77,57.1428571428571,41.5584415584416,0,0,2,0,762,559.882439382807,24346125.0058594,35481.4459379841
78,Billwerder,3784,1170,30.9196617336152,318,8.40380549682875,2651,70.0581395348837,2716,73.1483975222192,1000,87.3362445414847,1312,2.73399390243902,374,28.5060975609756,499,38.0335365853659,77,15.4308617234469,9.469395088,399.603138831459,70,18,2562,380,2182,461,29.7,25,1.00847115772489,3,0.480769230769231,4,1.54440154440154,1870,49.4186046511628,688,69.7061803444782,661,643,30575,383,560,1,406,72.5,93.9428571428571,13.9027484143763,780,139.285714285714,0,0,239,0,0,3,1,213,71.3615023474178,25.8215962441315,0,0,0,0,569,150.369978858351,26717090.8359375,27905.2497716333
79,Moorfleet,1254,210,16.7464114832536,196,15.6299840510367,199,15.8692185007974,327,26.1390887290168,65,31.4009661835749,605,1.9702479338843,275,45.4545454545455,113,18.6776859504132,18,15.929203539823,4.372494647,286.792803934106,10,9,164,181,-17,479,53.8,45,5.10204081632653,0,0,13,8.02469135802469,83,6.61881977671451,18,10.2272727272727,51,565,34387,332,446,1,357,80.0448430493274,101.410313901345,36.0677830940989,0,0,0,0,218,0,0,0,0,69,63.768115942029,34.7826086956522,0,0,0,0,643,512.759170653908,12338527.0961914,18511.4989977434
80,Tatenberg,558,101,18.1003584229391,108,19.3548387096774,34,6.09318996415771,65,11.7117117117117,13,12.8712871287129,251,2.22709163346614,88,35.0597609561753,63,25.0996015936255,7,11.1111111111111,3.066091996,181.990625437189,1,5,28,28,0,245,66.9,10,2.74725274725275,0,0,0,0,7,1.25448028673835,0,0,5,260,42598,168,227,2,191,84.1409691629956,115,46.7831541218638,0,0,0,0,240,0,0,0,0,39,51.2820512820513,48.7179487179487,0,0,0,0,300,537.634408602151,8644316.28271484,12961.4538097561
81,Spadenland,514,76,14.7859922178988,116,22.568093385214,16,3.11284046692607,35,6.86274509803922,7,9.33333333333333,246,2.08536585365854,91,36.9918699186992,46,18.6991869918699,10,21.7391304347826,3.419222592,150.326568736008,3,2,42,35,7,200,59.2,7,2.07100591715976,0,0,5,7.8125,9,1.75097276264591,0,0,7,261,35255,115,212,4,118,55.6603773584906,107.485849056604,44.3326848249027,0,0,0,0,240,0,0,0,0,28,57.1428571428571,42.8571428571429,0,0,0,0,300,583.657587548638,9640444.70556641,16305.0402573218
82,Neuallermöhe,23844,5517,23.1378963261198,2063,8.65207180003355,4047,16.9728233517866,15363,64.463746223565,4326,78.5688339992735,9594,2.40337711069418,2889,30.1125703564728,3170,33.0414842609965,856,27.0031545741325,4.2042428238,5671.41361698243,295,70,1683,1775,-92,9854,57.7,1022,5.93392556465192,59,1.68957617411226,136,4.06820221358062,4021,16.8637812447576,1356,29.7498903027644,1641,9440,28633,3192,9227,158,2503,27.12691015498,80.2851414327517,31.068235195437,5019,54.3947111737293,886,17.7,288,0,0,7,3,1902,57.6761303890641,40.6940063091483,16,10,9,2,7795,326.916624727395,11850804.980957,16725.0892085764
83,Harburg,25860,4081,15.7811291569992,2807,10.8546017014695,10238,39.5901005413766,15255,58.8996138996139,3306,81.2684365781711,14607,1.68467173273088,8986,61.5184500581913,2294,15.7047990689396,694,30.2528334786399,3.99064839933,6480.14994363866,377,162,5108,5561,-453,9910,51.8,1417,7.24696977445916,121,2.92907286371339,191,8.87134231305155,4689,18.1322505800464,1374,39.2571428571429,2356,9499,20773,1586,12799,164,284,2.21892335338698,60.2674427689663,29.8284222737819,1171,9.14915227752168,239,20.4,286,0,0,16,0,1104,67.3913043478261,24.3659420289855,178,34,62,12,4850,187.548337200309,11236709.9716797,20607.1446930513
84,Wilstorf,17437,3059,17.5431553592935,3354,19.2349601422263,4121,23.6336525778517,7740,44.3858240623925,2079,68.3656691877672,9455,1.84167107350608,5003,52.9138022210471,1802,19.0586991010048,484,26.8590455049945,3.4228230096,5094.33293836532,232,236,2013,1723,290,6702,58.6,693,6.03238161559889,56,2.91060291060291,110,5.73514077163712,2426,13.9129437403223,772,29.7495183044316,1139,7823,25518,2049,8689,196,1452,16.7107837495684,69.0523650592703,34.4093594081551,886,10.1968005524226,515,58.1,324,0,0,11,1,837,60.0955794504182,34.647550776583,23,12,5,2,5494,315.077134828239,9630077.90234375,14184.0219823903
85,Rönneburg,3233,612,18.9297865759357,582,18.001855861429,468,14.4757191463037,1040,32.3785803237858,296,48.4451718494272,1519,2.16260697827518,579,38.1171823568137,366,24.0947992100066,72,19.672131147541,2.247532359,1438.46649729149,19,22,291,256,35,1271,60.3,62,2.8999064546305,7,1.75879396984925,11,2.52873563218391,207,6.40272193009589,71,13.8401559454191,96,1443,38848,776,1392,3,757,54.382183908046,96.4698275862069,41.5360346427467,153,10.9913793103448,147,96.1,303,0,0,1,1,208,43.2692307692308,54.3269230769231,0,0,0,0,1435,443.860191772348,6320820.66162109,15096.0147257387
86,Langenbek,4037,625,15.4817934109487,924,22.8882833787466,426,10.5523903889027,1282,31.7956349206349,286,45.9807073954984,2008,2.04631474103586,766,38.1474103585657,405,20.1693227091633,108,26.6666666666667,0.7935528185,5087.24801410305,32,31,329,293,36,1590,60.2,103,3.94333843797856,10,2.29885057471264,26,3.84047267355982,237,5.87069606143176,64,12.7744510978044,127,1924,34231,1195,1875,12,1129,60.2133333333333,86.8442666666667,40.3351498637602,352,18.7733333333333,260,73.9,287,0,0,1,0,200,47,47,0,0,0,1,1777,440.178350260094,2231238.89257813,7509.59322682956
87,Sinstorf,4102,980,23.8907849829352,648,15.7971721111653,1011,24.6465138956607,1768,43.1640625,656,67.1443193449335,1761,2.20102214650767,669,37.9897785349233,472,26.8029528676888,92,19.4915254237288,2.516604269,1629.97418804744,55,34,878,421,457,1387,57.5,141,5.37142857142857,19,3.74753451676529,17,4.32569974554707,633,15.4314968308142,237,28.5886610373945,267,1667,33328,880,1549,85,913,58.9412524209167,90.9244673983215,34.3349585568016,104,6.71400903808909,0,0,263,0,0,2,1,254,51.5748031496063,44.8818897637795,10,3,3,0,1521,370.794734275963,7073744.27246094,16012.7412231717
88,Marmstorf,8863,1356,15.299559968408,2555,28.8277107074354,972,10.9669412162925,2392,27.0007901569026,581,43.037037037037,4620,1.95887445887446,1981,42.8787878787879,850,18.3982683982684,180,21.1764705882353,5.8434554701,1516.73954654921,66,98,760,692,68,3072,59.6,165,3.15427260562034,13,1.45089285714286,37,3.41643582640813,444,5.00959043213359,124,11.5134633240483,225,4505,36313,2227,4273,2,2126,49.7542710039785,89.3168733910601,43.0611531084283,110,2.57430376784461,0,0,325,0,0,3,1,463,34.7732181425486,61.9870410367171,7,5,5,2,3843,433.600361051563,16431864.5678711,22473.6021352581
89,Eißendorf,24540,4158,16.9437652811736,5026,20.480847595762,4321,17.6079869600652,9431,38.451502425898,2392,57.6524463726199,13064,1.88556338028169,6523,49.9311083894672,2500,19.1365584813227,641,25.64,8.339131496,2942.75249308288,275,257,2626,2367,259,9057,57,844,5.26447105788423,62,2.20562077552472,137,4.77851412626439,2607,10.6234718826406,781,22.4296381390006,1293,11549,32988,4296,12119,78,3657,30.1757570756663,78.4011057017906,38.7181336593317,674,5.56151497648321,264,39.2,348,0,0,8,3,1288,50.6211180124224,44.0993788819876,14,9,8,1,8886,362.102689486553,23460945.2216797,31084.3536429864
90,Heimfeld,22082,3810,17.2538719318902,3438,15.5692419164931,5343,24.1961778824382,9851,44.5847476804707,2382,62.5196850393701,12171,1.80297428313204,6785,55.7472680962945,2274,18.6837564702983,590,25.9454705364996,13.0042323156,1698.06255871869,272,232,3103,2905,198,8858,57.7,882,5.72207084468665,80,2.85918513223731,116,5.48982489351633,2724,12.335839145005,784,24.2724458204334,1416,9595,30132,2485,10567,16,1539,14.5642093309359,71.4287877354027,34.1811430124083,1577,14.9238194378726,107,6.8,310,0,0,8,2,1156,52.5951557093426,34.5155709342561,27,9,12,3,6308,285.662530567883,36626222.8852539,36977.3548945894
91,Hausbruch,16979,3212,18.9174863066141,3393,19.9835090405795,2553,15.0362212144414,9051,53.3227288794627,2254,70.4815509693559,7688,2.18678459937565,2876,37.4089490114464,1856,24.1415192507804,448,24.1379310344828,9.8349337359,1726.39699015178,158,169,1237,1071,166,6244,56.8,671,6.09279941886861,52,2.45979186376537,131,5.37987679671458,2499,14.7181812827611,756,29.3820443062573,1106,7349,31023,2963,7199,26,2701,37.5190998749826,84.4408945686901,35.8024618646563,1148,15.9466592582303,146,12.7,239,0,0,9,1,1176,63.8605442176871,31.8877551020408,16,4,11,2,6101,359.326226515107,27704313.215332,34659.1843289709
92,Neugraben-Fischbek,29877,5884,19.694079057469,6084,20.3634903102721,5146,17.2239515346253,13747,46.0474308300395,3776,64.4698651186614,13899,2.12044031944744,5510,39.6431397942298,3285,23.6347938700626,776,23.6225266362253,22.5234258677,1326.48559661812,357,303,3268,2492,776,10249,54.7,1173,6.21062106210621,106,3.13609467455621,204,5.45017365749399,4383,14.6701476051812,1263,25.7439869547493,2114,12290,31101,5757,12661,189,5290,41.7818497748993,85.4022589052997,36.1909830304247,868,6.85569860200616,312,35.9,263,0,0,14,4,1832,62.0087336244541,33.4061135371179,38,15,20,5,10507,351.67520166014,63449990.3632813,42482.6351081317
93,Francop,709,108,15.2327221438646,127,17.9125528913963,77,10.8603667136812,111,15.5898876404494,12,11.1111111111111,346,2.10404624277457,134,38.728323699422,68,19.6531791907514,16,23.5294117647059,8.813302542,80.4465745526429,3,2,95,56,39,291,60.5,8,1.60965794768612,0,0,0,0,26,3.66713681241185,6,7.05882352941176,12,356,35782,203,341,12,249,73.0205278592375,97.6568914956012,46.9689703808181,0,0,0,0,229,0,0,0,0,36,66.6666666666667,33.3333333333333,1,0,0,0,374,527.503526093089,24867936.0009766,23501.6376690192
94,Neuenfelde,4861,1026,21.1067681547007,731,15.0380580127546,1495,30.7549886854557,2358,48.5285038073678,662,64.3968871595331,2183,2.16124599175447,947,43.3806688043976,508,23.2707283554741,107,21.0629921259843,15.6755941041,310.099889530094,50,27,548,661,-113,1714,52.2,217,6.61989017693716,21,3.36538461538462,24,4.52830188679245,723,14.8734828224645,254,29.81220657277,321,1909,32879,1037,1945,4,1181,60.719794344473,95.386118251928,38.166220942193,291,14.9614395886889,0,0,224,0,0,3,1,348,64.0804597701149,32.7586206896552,1,1,3,1,1918,394.569018720428,44244637.8603516,31946.4325273759
95,Cranz,840,119,14.1666666666667,150,17.8571428571429,228,27.1428571428571,332,39.5238095238095,66,55.9322033898305,500,1.732,285,57,73,14.6,18,24.6575342465753,1.332876373,630.215987780886,11,9,168,155,13,344,55.2,34,5.77249575551783,3,3.2258064516129,3,2.63157894736842,87,10.3571428571429,22,21.7821782178218,50,378,31335,166,398,0,143,35.929648241206,87.0954773869347,41.2666666666667,0,0,0,0,231,0,0,1,1,37,43.2432432432432,48.6486486486487,2,2,0,0,354,421.428571428571,3768256.07958984,9995.33904363919
96,Kleiner Grasbrook und Steinwerder,1243,70,5.63153660498793,67,5.39018503620274,464,37.3290426387772,615,49.636803874092,61,88.4057971014493,973,1.30421377183967,759,78.0061664953751,38,3.9054470709147,17,44.7368421052632,11.900176586,104.452231529264,7,7,383,360,23,547,50.2,95,8.52017937219731,6,1.76991150442478,12,11.1111111111111,185,14.8833467417538,34,55.7377049180328,128,588,13777,70,735,0,2,0.272108843537415,50.5891156462585,29.9139179404666,0,0,0,0,0,0,0,0,0,20,80,20,0,0,0,0,118,94.9316170555109,33611768.7104492,28803.2914426783
97,Waltershof und Finkenwerder,11765,1896,16.1155971100722,2316,19.6855078623034,1985,16.872078198045,3511,29.8808510638298,892,47.2958642629905,6341,1.86831730011039,3222,50.8121747358461,1168,18.4198076013247,316,27.0547945205479,29.4205098862,399.891097928201,121,119,870,784,86,4802,61.1,404,5.12365250475587,26,1.97718631178707,76,4.62287104622871,1097,9.32426689332767,293,18.7340153452685,596,5919,31649,2299,5777,0,1915,33.148693093301,75.4910853384109,37.0685932851679,701,12.1343257746235,176,25.1,296,0,0,5,2,561,56.8627450980392,40.9982174688057,7,5,7,3,4386,372.800679983,83118203.3134766,46936.0237024006
98,Moorburg und Altenwerder,746,155,20.7774798927614,103,13.8069705093834,68,9.11528150134048,127,17.0469798657718,27,17.5324675324675,386,1.96891191709845,187,48.4455958549223,86,22.279792746114,27,31.3953488372093,16.698194451,44.6754888493543,6,7,77,77,0,294,56.8,21,4.06976744186047,3,3.7037037037037,3,2.67857142857143,63,8.44504021447721,23,18.1102362204724,29,361,34544,226,328,0,242,73.780487804878,99.405487804878,43.7064343163539,0,0,0,0,229,0,0,1,0,47,65.9574468085106,34.0425531914894,0,0,0,0,373,500,47097698.3227539,33566.7044112085
